Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Mayhem Arm Guards;Mayhem;100; ; ;Planet Calypso
Mayhem Arm Guards (L);Mayhem (L);100; ; ;Planet Calypso
Mayhem Foot Guards;Mayhem;60; ; ;Planet Calypso
Mayhem Foot Guards (L);Mayhem (L);60; ; ;Planet Calypso
Mayhem Gloves;Mayhem;60; ; ;Planet Calypso
Mayhem Gloves (L);Mayhem (L);60; ; ;Planet Calypso
Mayhem Harness;Mayhem;180; ; ;Planet Calypso
Mayhem Harness (L);Mayhem (L);180; ; ;Planet Calypso
Mayhem Helmet;Mayhem;100; ; ;Planet Calypso
Mayhem Helmet (L);Mayhem (L);100; ; ;Planet Calypso
Mayhem Shin Guards;Mayhem;60; ; ;Planet Calypso
Mayhem Shin Guards (L);Mayhem (L);60; ; ;Planet Calypso
Mayhem Thigh Guards;Mayhem;100; ; ;Planet Calypso
Mayhem Thigh Guards (L);Mayhem (L);100; ; ;Planet Calypso
Merry Mayhem 08 Harness;Merry Mayhem;275; ; ;Planet Calypso
Merry Mayhem 09 Helmet;Merry Mayhem;146; ; ;Planet Calypso
Merry Mayhem 10 Arm Guards;Merry Mayhem;195; ; ;Planet Calypso
Merry Mayhem 11 Thigh Guards;Merry Mayhem;210; ; ;Planet Calypso
Merry Mayhem 12 Shin Guards;Merry Mayhem;146; ; ;Planet Calypso
Merry Mayhem 13 Foot Guards;Merry Mayhem;160; ; ;Planet Calypso
Merry Mayhem 14 Gloves;Merry Mayhem;146; ; ;Planet Calypso
MMOWC X1 Arm Guards;MMOWC X1;80; ; ;ROCKtropia
MMOWC X1 Foot Guards;MMOWC X1;45; ; ;ROCKtropia
MMOWC X1 Gloves;MMOWC X1;45; ; ;ROCKtropia
MMOWC X1 Harness;MMOWC X1;110; ; ;ROCKtropia
MMOWC X1 Helmet;MMOWC X1;70; ; ;ROCKtropia
MMOWC X1 Shin Guards;MMOWC X1;70; ; ;ROCKtropia
MMOWC X1 Thigh Guards;MMOWC X1;80; ; ;ROCKtropia
Moonshine Arm Guards (L);Moonshine (L);115;150.00%;150.00%;Planet Arkadia
Moonshine Foot Guards (L);Moonshine (L);96;150.00%;150.00%;Planet Arkadia
Moonshine Gloves (L);Moonshine (L);96;150.00%;150.00%;Planet Arkadia
Moonshine Harness (L);Moonshine (L);189;150.00%;150.00%;Planet Arkadia
Moonshine Helmet (L);Moonshine (L);90;150.00%;150.00%;Planet Arkadia
Moonshine Shin Guards (L);Moonshine (L);102;150.00%;150.00%;Planet Arkadia
Moonshine Thigh Guards (L);Moonshine (L);115;150.00%;150.00%;Planet Arkadia
Musca Arm Guards (L);Musca (L);5.6;138.00%;138.00%;Planet Arkadia
Musca Arm Guards Adjusted;Musca Adjusted;4.2;9.00 PED;9.00 PED;Planet Arkadia
Musca Foot Guards (L);Musca (L);4.8;138.00%;138.00%;Planet Arkadia
Musca Foot Guards Adjusted;Musca Adjusted;3.8;9.00 PED;9.00 PED;Planet Arkadia
Musca Gloves (L);Musca (L);4;138.00%;138.00%;Planet Arkadia
Musca Gloves Adjusted;Musca Adjusted;3.8;9.00 PED;9.00 PED;Planet Arkadia
Musca Harness (L);Musca (L);9.6;138.00%;138.00%;Planet Arkadia
Musca Harness Adjusted;Musca Adjusted;5.8;30.00 PED;30.00 PED;Planet Arkadia
Musca Helmet (L);Musca (L);5.2;138.00%;138.00%;Planet Arkadia
Musca Helmet Adjusted;Musca Adjusted;2.9;10.00 PED;10.00 PED;Planet Arkadia
Musca Shin Guards (L);Musca (L);5.2;138.00%;138.00%;Planet Arkadia
Musca Shin Guards Adjusted;Musca Adjusted;3.9;8.00 PED;8.00 PED;Planet Arkadia
Musca Thigh Guards (L);Musca (L);5.6;138.00%;138.00%;Planet Arkadia
Musca Thigh Guards Adjusted;Musca Adjusted;4.2;9.00 PED;9.00 PED;Planet Arkadia
Necromancer Arm Guards (L);Necromancer (L);170; ; ;Planet Calypso
Necromancer Foot Guards (L);Necromancer (L);156;342.31%; ;Planet Calypso
Necromancer Gloves (L);Necromancer (L);156; ; ;Planet Calypso
Necromancer Harness (L);Necromancer (L);193; ; ;Planet Calypso
Necromancer Helmet (L);Necromancer (L);170; ; ;Planet Calypso
Necromancer Shin Guards (L);Necromancer (L);155; ; ;Planet Calypso
Necromancer Thigh Guards (L);Necromancer (L);164; ; ;Planet Calypso
Nemesis Arm Guards;Nemesis;42.75; ; ;Planet Calypso
Nemesis Arm Guards, Adjusted;Nemesis, Adjusted;42.75; ; ;Planet Calypso
Nemesis Foot Guards;Nemesis;21.37; ; ;Planet Calypso
Nemesis Foot Guards, Adjusted;Nemesis, Adjusted;21.37; ; ;Planet Calypso
Nemesis Gloves;Nemesis;21.37; ; ;Planet Calypso
Nemesis Gloves, Adjusted;Nemesis, Adjusted;21.37; ; ;Planet Calypso
Nemesis Harness;Nemesis;64.12; ; ;Planet Calypso
Nemesis Harness, Adjusted;Nemesis, Adjusted;64.12; ; ;Planet Calypso
Nemesis Helmet;Nemesis;21.37; ; ;Planet Calypso
Nemesis Helmet, Adjusted;Nemesis, Adjusted;21.37; ; ;Planet Calypso
Nemesis Shin Guards;Nemesis;21.37; ; ;Planet Calypso
Nemesis Shin Guards, Adjusted;Nemesis, Adjusted;21.37; ; ;Planet Calypso
Nemesis Thigh Guards;Nemesis;42.75; ; ;Planet Calypso
Nemesis Thigh Guards, Adjusted;Nemesis, Adjusted;42.75; ; ;Planet Calypso
Oberon Arm Guards (L);Oberon (L);40; ; ;Monria
Oberon Face Guard;Oberon;40; ; ;Monria
Oberon Face Guard (L);Oberon (L);40; ; ;Monria
Oberon Foot Guards (L);Oberon (L);20; ; ;Monria
Oberon Gloves (L);Oberon (L);20; ; ;Monria
Oberon Harness;Oberon;60; ; ;Monria
Oberon Harness (L);Oberon (L);60; ; ;Monria
Oberon Helmet (M,L);Oberon (L);40; ; ;Monria
Oberon Shin Guards (L);Oberon (L);20; ; ;Monria
Optimus Prime Helmet;Optimus Prime;20; ; ;Next Island
Orca Arm Guards (L);Orca (L);47.5; ; ;Planet Calypso
Orca Foot Guards (L);Orca (L);47.5; ; ;Planet Calypso
Orca Gloves (L);Orca (L);47.5; ; ;Planet Calypso
Orca Harness (L);Orca (L);60; ; ;Planet Calypso
Orca Helmet (L);Orca (L);35.5; ; ;Planet Calypso
Orca Shin Guards (L);Orca (L);45; ; ;Planet Calypso
Orca Thigh Guards (L);Orca (L);46; ; ;Planet Calypso
Ozpyn Beetle Arm Guards (L);Ozpyn Beetle (L);44; ; ;Planet Cyrene
Ozpyn Beetle Chest Guard (L);Ozpyn Beetle (L);64; ; ;Planet Cyrene
Ozpyn Beetle Foot Guards (L);Ozpyn Beetle (L);44; ;115.00%;Planet Cyrene
Ozpyn Beetle Hand Guards (L);Ozpyn Beetle (L);40; ; ;Planet Cyrene
Ozpyn Beetle Head Guard (L);Ozpyn Beetle (L);64; ;105.00%;Planet Cyrene
Ozpyn Beetle Shin Guards (L);Ozpyn Beetle (L);56; ; ;Planet Cyrene
Ozpyn Beetle Thigh Guards (L);Ozpyn Beetle (L);52; ; ;Planet Cyrene
Ozpyn Force Arm Guards (L);Ozpyn Force (L);90;110.00%;110.00%;Planet Cyrene
Ozpyn Force Foot Guards (L);Ozpyn Force (L);85;110.00%;110.00%;Planet Cyrene
Ozpyn Force Hand Guards (L);Ozpyn Force (L);90;110.00%;110.00%;Planet Cyrene
Ozpyn Force Harness (L);Ozpyn Force (L);100;110.00%;110.00%;Planet Cyrene
Ozpyn Force Helmet (L);Ozpyn Force (L);100;110.00%;110.00%;Planet Cyrene
Ozpyn Force Shin Guards (L);Ozpyn Force (L);95;110.00%;110.00%;Planet Cyrene
