Name;Type;Max.TT;Markup
Abrer Laser Sight;Sight;110; 
Alekz Precision Scope;Scope;34; 
ArMatrix B-Amplifier 4P (L);BLP Amp;8;137.50%
ArMatrix B-Amplifier 6P (L);BLP Amp;12;133.00%
ArMatrix B-Amplifier 8P (L);BLP Amp;16;120.00%
ArMatrix B-Amplifier 10P (L);BLP Amp;20;145.00%
ArMatrix B-Amplifier 13P (L);BLP Amp;26;142.31%
ArMatrix B-Amplifier 17P (L);BLP Amp;34;132.35%
ArMatrix B-Amplifier 20P (L);BLP Amp;40;138.00%
ArMatrix B-Amplifier 23P (L);BLP Amp;46;197.39%
ArMatrix B-Amplifier 25P (L);BLP Amp;50;128.00%
ArMatrix B-Amplifier 28P (L);BLP Amp;56;130.00%
ArMatrix B-Amplifier 33P (L);BLP Amp;66;136.00%
ArMatrix B-Amplifier 37P (L);BLP Amp;74;139.00%
ArMatrix B-Amplifier 42P (L);BLP Amp;84;136.00%
ArMatrix B-Amplifier 45P (L);BLP Amp;90;135.00%
ArMatrix B-Amplifier 50P (L);BLP Amp;100;152.00%
ArMatrix B-Amplifier 55P (L);BLP Amp;100;147.00%
ArMatrix B-Amplifier 60P (L);BLP Amp;100;155.00%
ArMatrix B-Amplifier 65P (L);BLP Amp;100;165.00%
ArMatrix B-Amplifier 70P (L);BLP Amp;100;170.00%
ArMatrix B-Amplifier 75P (L);BLP Amp;100;145.00%
ArMatrix Extender P10 (L);Absorber;100; 
ArMatrix Extender P15 (L);Absorber;150; 
ArMatrix Extender P20 (L);Absorber;200; 
ArMatrix L-Amplifier 4B (L);Energy Amp;8;150.00%
ArMatrix L-Amplifier 6B (L);Energy Amp;12;135.00%
ArMatrix L-Amplifier 8B (L);Energy Amp;16;130.00%
ArMatrix L-Amplifier 10B (L);Energy Amp;20;128.91%
ArMatrix L-Amplifier 13B (L);Energy Amp;26;123.00%
ArMatrix L-Amplifier 17B (L);Energy Amp;34;120.00%
ArMatrix L-Amplifier 20B (L);Energy Amp;40;155.00%
ArMatrix L-Amplifier 23B (L);Energy Amp;46;172.00%
ArMatrix L-Amplifier 25B (L);Energy Amp;50;179.00%
ArMatrix L-Amplifier 28B (L);Energy Amp;56;188.29%
ArMatrix L-Amplifier 33B (L);Energy Amp;66;142.00%
ArMatrix L-Amplifier 37B (L);Energy Amp;74;141.00%
ArMatrix L-Amplifier 42B (L);Energy Amp;84;134.00%
ArMatrix L-Amplifier 45B (L);Energy Amp;90;131.00%
ArMatrix L-Amplifier 50B (L);Energy Amp;100;160.01%
ArMatrix L-Amplifier 55B (L);Energy Amp;100;172.00%
ArMatrix L-Amplifier 60B (L);Energy Amp;100;170.00%
ArMatrix L-Amplifier 65B (L);Energy Amp;100;199.00%
ArMatrix L-Amplifier 70B (L);Energy Amp;100;200.00%
ArMatrix L-Amplifier 75B (L);Energy Amp;100;213.00%
ArMatrix Laser Sight Mk.1, TWEN Edition;Sight;200; 
ArMatrix Laser Sight Mk.2, TWEN Edition;Sight;200; 
ArMatrix Laser Sight Mk.3, TWEN Edition;Sight;200; 
ArMatrix Precision Scope Mk.1, TWEN Edition;Scope;200; 
ArMatrix Precision Scope Mk.2, TWEN Edition;Scope;200; 
ArMatrix Precision Scope Mk.3, TWEN Edition;Scope;200; 
Beacin Laser Sight;Sight;160; 
Bjornir Precision Scope;Scope;58; 
Block Rocker BLP Amp Mk I (L);BLP Amp;110; 
Block Rocker BLP Amp Mk II (L);BLP Amp;143; 
Boom AAC (L);Energy Amp;79; 
Boom ACC (L);Energy Amp;37; 
Boom BBC (L);Energy Amp;135; 
Boom BCC (L);Energy Amp;51.5;10571.00%
Boom CCC (L);Energy Amp;20.5; 
Bullseye 1;Sight;60; 
Bullseye 2;Sight;70;14.50 PED
Bullseye 3;Sight;80; 
Bullseye 4;Sight;90; 
Bullseye 5;Sight;100; 
Bullseye 6;Sight;110;59.00 PED
Bullseye 7;Sight;120; 
Bullseye 8;Sight;130; 
Bullseye I (L);Sight;15; 
Bullseye II (L);Sight;17; 
Bullseye III (L);Sight;20; 
Bullseye IV (L);Sight;22; 
Bullseye V (L);Sight;25;4999.00%
Bullseye VI (L);Sight;27; 
Bullseye VII (L);Sight;30; 
Bullseye VIII (L);Sight;32; 
Bull Tac10 (L);BLP Amp;8.5;117.65%
Bull Tac20 (L);BLP Amp;19;112.01%
Bull Tac25 (L);BLP Amp;24.2;112.83%
Bull Tac30 (L);BLP Amp;41;114.63%
Bull Tac40 (L);BLP Amp;44;111.71%
Bull Tac50 (L);BLP Amp;57;124.56%
Bull Tac60 (L);BLP Amp;61;132.08%
Bull Tac70 (L);BLP Amp;106;124.62%
Bull Tac80 (L);BLP Amp;149;132.10%
Bull TacElite (L);BLP Amp;235;404.00%
