Name;Type;Max.TT;Markup;Source
Default Initiate's Healing Kit (L); ;9; ;TT
A.R.C. Improved First Aid Pack (L);FAP;10; ;Imperium Token
California FAP mk I  (L);FAP;63; ;Crafted
California FAP mk II (L);FAP;77; ;Crafted
California FAP mk III (C,L);FAP;88; ;Crafted
California FAP mk IV Elite (C);FAP;96; ;Event
Cheap A$$ FAP-1(L);FAP;4; ; 
Chikara Ashvin HR1 (L);FAP;4; ;Looted
Chikara Ashvin HR2 (L);FAP;11;109.00%;Looted
Coover's Personal Nurse;FAP;5000; ;Unique Event Prize
E-Laj V1 (L);FAP;9;0.00%;Looted
Eir Mk 1;FAP;320;9500.00 PED;Looted
Eir Mk 1 (L);FAP;80; ;Crafted
Eir Mk 2;FAP;560; ;Looted
Eir Mk 3;FAP;762; ;Looted
Eir Mk 3 (L);FAP;190;300.00%;Crafted
EMT Kit Ek-1000;FAP;20; ;Crafted
EMT Kit Ek-2000;FAP;40; ;Crafted
EMT Kit Ek-2300;FAP;44; ;Crafted
EMT Kit Ek-2350;FAP;49; ;Crafted
EMT Kit Ek-2350, Adjusted;FAP;98; ;Mission
EMT Kit Ek-2350, Improved;FAP;147; ;Mission
EMT Kit Ek-2350, Modified;FAP;196;5800.00 PED;Mission
EMT Kit Ek-2500;FAP;60; ;Crafted
EMT Kit Ek-2500 Deluxe;FAP;135; ;Crafted
EMT Kit Ek-2550;FAP;62; ;Crafted
EMT Kit Ek-2580;FAP;72; ;Crafted
EMT Kit Ek-2600;FAP;120;70.00 PED;Crafted
EMT Kit Ek-2600, Adjusted;FAP;240;1800.00 PED;Mission
EMT Kit Ek-2600, Improved;FAP;360;3000.00 PED;Mission
EMT Kit Ek-2600, Modified;FAP;480;10000.00 PED;Mission
EMT Kit Ek-2700;FAP;144; ;Crafted
EMT Kit Ek-2900;FAP;140; ;Crafted
Fanoos Medical V1 (L);FAP;0.05;3500.00%;Looted
Fanoos Medical V2 (L);FAP;17; ;Crafted
Fanoos Medical V3 (L);FAP;24; ;Crafted
Fast Aid Pack, Adjusted, FEN Edition;FAP;230; ;FEN Token Trader
Fast Aid Pack, Adjusted, FEN Edition (L);FAP;115; ;FEN Token Trader
Fast Aid Pack, Improved, FEN Edition;FAP;280; ;Looted, Event
Fast Aid Pack, Improved, TWEN Edition;FAP;280; ;TWEN Vendor
Fast Aid Pack, Modified, FEN Edition;FAP;330; ;FEN Token Trader
Fast Aid Pack, Modified, FEN Edition (L);FAP;150; ;FEN Token Trader
Fast Aid Pack, Modified, TWEN Edition;FAP;330; ;Event
Frontier First Aid Pack, Adjusted;FAP;10;0.00 PED;Webshop
GYRO Combat FAP-10 (L);FAP;31; ;Crafted
GYRO Combat FAP-14 (L);FAP;44; ;Crafted
GYRO Combat FAP-18 (L);FAP;57; ;Crafted
GYRO Combat FAP-2 (L);FAP;5; ;Crafted
GYRO Combat FAP-22 (L);FAP;70; ;Crafted
GYRO Combat FAP-22 Smuggler;FAP;210; ;Looted
GYRO Combat FAP-26 (L);FAP;83; ;Crafted
GYRO Combat FAP-30 (L);FAP;96;123.00%;Crafted
GYRO Combat FAP-35 (L);FAP;109; ;Crafted
GYRO Combat FAP-40 (L);FAP;122; ;Crafted
GYRO Combat FAP-40 Smuggler;FAP;330; ;Looted
GYRO Combat FAP-45 (L);FAP;135; ;Crafted
GYRO Combat FAP-55 (L);FAP;161; ;Crafted
GYRO Combat FAP-6 (L);FAP;18; ;Crafted
GYRO Combat FAP-60 (L);FAP;174; ;Crafted
GYRO Combat FAP-60 Smuggler;FAP;440; ;Looted
GYRO Combat FAP-65 (L);FAP;187; ;Crafted
GYRO FAP Improved;FAP;215; ;Looted
GYRO FAP Trainer (L);FAP;1; ;Mission
GYRO FAP-10 (L);FAP;35; ;Crafted, Looted
GYRO FAP-14 (L);FAP;50; ;Crafted, Looted
GYRO FAP-14 Smuggler;FAP;240;700.00 PED;Looted
GYRO FAP-18 (L);FAP;65; ;Crafted, Looted
GYRO FAP-2 (L);FAP;5; ;Crafted, TT, Looted
GYRO FAP-2 Smuggler;FAP;100; ;Event, Looted
GYRO FAP-22 (L);FAP;80;109.00%;Crafted, Looted
GYRO FAP-26 (L);FAP;95;119.00%;Crafted, Looted
GYRO FAP-30 (L);FAP;110; ;Crafted, Looted
GYRO FAP-30 Smuggler;FAP;400; ;Event, Looted
GYRO FAP-35 (L);FAP;125;121.00%;Crafted, Looted
GYRO FAP-40 (L);FAP;140; ;Crafted, Looted
GYRO FAP-45 (L);FAP;155; ;Crafted, Looted
GYRO FAP-50 (L);FAP;170; ;Crafted, Looted
GYRO FAP-50 Smuggler;FAP;560; ;Event
GYRO FAP-55 (L);FAP;185; ;Crafted, Looted
GYRO FAP-6 (L);FAP;20; ;Crafted, Looted
GYRO FAP-60 (L);FAP;200; ;Crafted, Looted
GYRO FAP-65 (L);FAP;215; ;Crafted, Looted
GYRO FAP-TT (L);FAP;9; ;TT
H.E.A.R.T. M1 (L);FAP;35; ;Crafted, Looted
H.E.A.R.T. M7 (L);FAP;50; ;Crafted, Looted
Hedoc Adventurer;FAP;19992.2; ;Looted
Hedoc Adventurer (L);FAP;248.5; ;Looted
Hedoc Adventurer, Adjusted (L);FAP;372.75; ;Looted
Hedoc M-450;FAP;12223.2; ;Looted
Hedoc M-450 (L);FAP;148.1; ;Looted
Hedoc M-450, Adjusted;FAP;18779; ;Looted
Hedoc M-450, Adjusted (L);FAP;222.15; ;Looted
Hedoc M-600;FAP;18500; ;Looted
Hedoc M-600 (L);FAP;208.2; ;Looted
Hedoc M-600, Adjusted;FAP;19606.8; ;Looted
Hedoc M-600, Adjusted (L);FAP;312.3; ;Looted
Hedoc Mayhem;FAP;40;600.00 PED;Merry Mayhem, Looted
Hedoc Mayhem, Adjusted;FAP;50;1450.00 PED;Merry Mayhem, Looted
Hedoc Mayhem, Augmented;FAP;80; ;Mayhem Token Trader
Hedoc Mayhem, Improved;FAP;60;25000.00 PED;Merry Mayhem, Looted
Hedoc Mayhem, Modified;FAP;70;35000.00 PED;Merry Mayhem, Looted
Hedoc Mayhem, Perfected;FAP;90; ;Mayhem Token Trader
Hedoc SK-120 (L);FAP;117.5;150.00%;Looted
Hedoc SK-20;FAP;750.25; ;Looted
Hedoc SK-20 (L);FAP;34.8;112.00%;Looted
Hedoc SK-20, Adjusted;FAP;1280.1;10571.00 PED;Looted
Hedoc SK-20, Adjusted (L);FAP;52.2;126.00%;Looted
Hedoc SK-20, Adjusted, SGA Edition;FAP;128; ;Looted
Hedoc SK-50;FAP;4056.44; ;Looted
Hedoc SK-50 (L);FAP;75; ;Looted
Hedoc SK-50, Adjusted;FAP;6787.59; ;Looted
Hedoc SK-50, Adjusted (L);FAP;112.5; ;Looted
Hedoc SK-50, Adjusted, SGA Edition;FAP;232; ;Event
Hedoc SK-80;FAP;7555.81;12400.00 PED;Looted
Hedoc SK-80 (L);FAP;107.5;133.00%;Looted
Hedoc SK-80, Adjusted;FAP;12600.4;35000.00 PED;Event, Looted
Hedoc SK-80, Adjusted (L);FAP;161.25;18000.00%;Looted
Herb Box;FAP;5;1.00 PED;Looted
I0-Pulse Unit;FAP;4; ;Starter Pack
Imperium Fast Fap v1 (L);FAP;36; ;Looted
Imperium Fast Fap v2 (L);FAP;72; ;Looted
Imperium Fast Fap v3 (L);FAP;108; ;Looted
Imperium Reliable Fap v1 (L);FAP;25;14000.00%;Looted
Imperium Reliable Fap v2 (L);FAP;50; ;Looted
Imperium Reliable Fap v3 (L);FAP;75; ;Looted
Imperium Trainee F.A.P. (L);FAP;1; ;Mission
Improved GYRO, Gold Rush Edition;FAP;215; ;Event
Medkit (L);FAP;0.5;100.00%;TT
Mulmun Vigg's FAP (L);FAP;123; ;Looted
Neff's Stim Pack;FAP;401;6000.00 PED; 
NEVERDIE FA Series 001 (L);FAP;110; ;Looted
NEVERDIE FA Series 002 (L);FAP;123; ;Looted
