Name;Type;Max.TT;Markup;Source
1st Place Miss Entropia 09 Diploma;Diploma;1; ;Event
3rd Place WoF 2009 Diploma;Diploma;1; ;Event
A.R.C. Faction Badge;Mission Item;0.01; ;Mission
A.R.C. Tier 1 Limited Weapon Voucher;Misc Item;0.01; ;Looted
A.R.C. Tier 1 Unlimited Weapon Voucher;Misc Item;0.01; ;Looted
A.R.C. Tier 2 Limited Weapon Voucher;Misc item;0.01; ;Looted
A.R.C. Tier 2 Unlimited Weapon Voucher;Misc Item;0.01; ;Looted
A.R.C. Tier 3 Limited Weapon Voucher;Misc item;0.01; ;Looted
A.R.C. Tier 3 Unlimited Weapon Voucher;Misc item;0.01; ;Looted
Agility Token;Token;0; ;Mission
Alpha Core Card #1;Misc item;0; ;Looted
Alpha Core Card #2;Misc item;0; ;Looted
Alpha Core Card #3;Misc item;0; ;Looted
Alpha Core Card #4;Misc item;0; ;Looted
Alpha Core Card #5;Misc item;0; ;Looted
Alpha Core Card #6;Misc item;0; ;Looted
Alpha Core Card #7;Misc item;0; ;Looted
Alpha Core Card #8;Misc item;0; ;Looted
Alpha Core Card #9;Misc item;0; ;Looted
Alpha Core Card #10;Misc item;0; ;Looted
Alpha Core Card #11;Misc item;0; ;Looted
Alpha Core Card #12;Misc item;0; ;Looted
Alpha Core Card #13;Misc item;0; ;Looted
Alpha Core Card #14;Misc item;0; ;Looted
Alpha Core Card #15;Misc item;0; ;Looted
Alpha Core Card #16;Misc item;0; ;Looted
Alpha Core Card #17;Misc item;0; ;Looted
Alpha Core Card #18;Misc item;0; ;Looted
Alpha Core Card #19;Misc item;0; ;Looted
Alpha Core Card #20;Misc item;0; ;Looted
Alpha Core Card #21;Misc item;0; ;Looted
Alpha Core Card #22;Misc item;0; ;Looted
Alpha Core Card #23;Misc item;0; ;Looted
Alpha Core Card #24;Misc item;0; ;Looted
Alpha Core Card #25;Misc item;0; ;Looted
Alpha Core Card #26;Misc item;0; ;Looted
Alpha Core Card #27;Misc item;0; ;Looted
Alpha Core Card #28;Misc item;0; ;Looted
Alpha Core Card #29;Misc item;0; ;Looted
Alpha Core Card #30;Misc item;0; ;Looted
Alpha Core Card #31;Misc item;0; ;Looted
Ancient Exarosaur Pet;Pet; ; ;Tamed
Ancient Snablesnot Male Deed;Pet; ; ;Tamed
Angel Armor FEN Edition Token;Token;363; ;FEN Token Trader
Arctic Tactical Radio;Mission Item;0.01; ;Mission
Arkadia Daily Insignia;Token;1E-05; ;Mission
Arkadia Moon Deed;Deed;1E-05; ;WebShop
Arkadia Passport;Misc item;0; ;Mission
Arkadia Underground Deed;Deed;1E-05; ;Auction
Arret Pet;Pet; ; ;Tamed
Asclarias;Pet; ; ;Tamed
Asclarias Powercore;Instance key;0.0001; ;Mission
Atrox Pet;Pet; ; ;Tamed
Bank License 1;Deed; ; ;Auction
Bank License 2;Deed; ; ;Auction
Bank License 3;Deed; ; ;Auction
Bank License 4;Deed; ; ;Auction
Bank License 5;Deed; ; ;Auction
