Name;Type;Max.TT;Markup;Source
Animal Brush (L);Taming;105.7; ;Crafted
Animal Brush Advanced (L);Taming;168.3; ;Crafted
Animal Brush Lite (L);Taming;3; ;Webshop
Anti-Toxic Shot;PvP;5.1; ;TT
Arkadian Golden Key;Arkadian Key;1000;6000.00 PED;Crafted
Arkadian Key 1;Arkadian Key;20;1.40 PED;Crafted
Arkadian Key 2;Arkadian Key;40;4.80 PED;Crafted
Arkadian Key 3;Arkadian Key;60;6.00 PED;Crafted
Arkadian Key 4;Arkadian Key;80;8.00 PED;Crafted
Arkadian Key 5;Arkadian Key;100;10.00 PED;Crafted
Arkadian Key 6;Arkadian Key;120;10.00 PED;Crafted
Arkadian Key 7;Arkadian Key;140;7.00 PED;Crafted
Arkadian Key 8;Arkadian Key;160;16.00 PED;Crafted
Arkadian Key 9;Arkadian Key;180;30.00 PED;Crafted
Arkadian Key 10;Arkadian Key;200;18.00 PED;Crafted
Arkadian Mini Key 1;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 2;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 3;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 4;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 5;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 6;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 7;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 8;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 9;Arkadian Key;0.01; ;NPC
Arkadian Mini Key 10;Arkadian Key;0.01; ;NPC
Armament Device 1 (L);Spacecraft Part;100; ;Crafted
Armament Device 2 (L);Spacecraft Part;400; ;Crafted
Armament Device 3 (L);Spacecraft Part;1400; ;Crafted
Basic Wrench;Hangar Part;20; ;Looted
Bleaching Attachment for Elysian Colorator;Bleacher;12.5; ;Mission
Body Sculpting Toolkit;Beauty;28;2300.00 PED;Looted
Body Sculpting Unit;Beauty;88; ;Looted
Bonzo Slim Jim;Tool;0.05; ;Crafted, Looted
Bonzos Lockpick;Instance Rocktropia;80; ;Crafted
Christmas Tree Fireworks 2015;Other;2; ;Christmas 2015
CUHOF 01 Key;Toulan Instance Key;1; ;Crafted
CUHOF Beginner Key;Toulan Instance Key;1; ;Mission
Electro Matrix;Hangar Part;12; ;Looted
Elysian Colorator;Colorator;2; ;Mission
Energy Source (L);Spacecraft Part;200; ;Crafted
Energy Storage;Hangar Part;24; ;Looted
Face Sculpting Chair;Beauty;98;15000.00 PED;Looted
Face Sculpting Toolkit;Beauty;34; ;Looted
Fluid Transsender;Hangar Part;28;60014.00 PED;Looted
Generic Fuelpump;Hangar Part; ; ;Looted
Green Hack Code; ;100;100.00 PED;Crafted
Hair Stylist Chair;Beauty;78; ;Looted
Hair Stylist Toolkit;Beauty;24;2600.00 PED;Looted
Hell Key I;Instance Rocktropia;20; ;Crafted
Hell Key II;Instance Rocktropia;40; ;Crafted
Hell Key III;Instance Rocktropia;60; ;Crafted
Hell Key IV;Instance Rocktropia;80; ;Crafted
Hell Key IX;Instance Rocktropia;180; ;Crafted
Hell Key V;Instance Rocktropia;100; ;Crafted
Hell Key VI;Instance Rocktropia;120; ;Crafted
Hell Key VII;Instance Rocktropia;140; ;Crafted
Hell Key VIII;Instance Rocktropia;160; ;Crafted
Hell Key X;Instance Rocktropia;200; ;Crafted
