Name;Type;Max.TT;Markup
Acceleration Chip 1 (L);Pyrokinetic;4.7;400.00%
Deceleration Chip 1 (L);Cryogenic;6.9; 
Health Augmentation Chip (L);Biotropic;12;200.00%
Regeneration Inhibition Chip 1 (L);Biotropic;6;150.00%
Synchronization Chip 1 (L);Focus;9.5; 
Synchronization Chip 2;Focus;32; 
Synchronization Chip 2 (L);Focus;12.5;16000.00%
Synchronization Chip 5;Focus;46; 
Synchronization Chip 5 (L);Focus;20.5;18500.00%
Official Metabolic Acceleration Chip;Pyrokinetic;48.5; 
Official Metabolic Inhibition Chip;Cryogenic;38.5; 
Synchronization Chip 8;Focus;49; 
Synchronization Chip 8 (L);Focus;29.5; 
Synchronization Chip 11;Focus;58; 
Synchronization Chip 11 (L);Focus;35;1000.00%
Synchronization Chip 14;Focus;67; 
Synchronization Chip 14 (L);Focus;42;2666.00%
