Name;Type;Max.TT;Markup
EWE LC-625 Gleamer (L);Laser;256.00; 
Exceptional A&P Series Mayhem BC-30, Modified (L);BLP;45.00; 
Exceptional A&P Series Mayhem BP-110, Improved (L);BLP;205.00; 
Exceptional A&P Series Mayhem LB-40, Improved (L);Longblades;85.00; 
Exceptional A&P Series Mayhem LP-120, Perfected (L);Laser;300.00; 
Exceptional ArMatrix LR-60, Augmented (L);Laser;105.00; 
Exceptional Kriegerum Mayhem G.2 Gauss Rifle, Perfected (L);Gauss;130.00; 
Exceptional Mayhem Arsonistic Chip 15 (L);Pyro;350.00; 
Exceptional Mayhem BP-70, Perfected (L);BLP;125.00;2920.00%
Exceptional Mayhem Electric Attack Chip 15, Perfected (L);Electric;180.00;1100.00%
Exceptional Mayhem Nano-Blade, Modified (L);Longblades;1000.00; 
Exceptional Young Argonaut's Claw (L);Power Fist;225.00; 
Falcata;Longblades;10.00; 
Falx;Longblades;12.00; 
Fenris Assault Shotgun;BLP;24.00; 
Fenris Assault Shotgun (L);BLP;680.00; 
Fenris Sniper Rifle (L);BLP;5.00; 
Fire Forge ARR 8000;Laser;116.00; 
Fire Forge ARR 8000, Ancient;Laser;116.00; 
Fire Forge ARR 8000, Ancient, Improved;Laser;500.00; 
Fire Forge ARR 8000, Improved;Laser;500.00;5000.00 PED
Fire Forge ARR 8000, SGA Edition;Laser;116.00; 
Fire Forge ARR 8000M;Laser;123.00; 
Fire Forge ARR 8000M, Ancient;Laser;123.00; 
Fire Forge BGH 4400;Laser;95.00; 
Fire Forge BGH 4400, Ancient;Laser;95.00; 
Fire Forge BGH 4400M;Laser;115.00; 
Fire Forge BGH 4400M, Ancient;Laser;112.00; 
Fire Forge BGH 4400M, Modified;Laser;10000.00; 
Fire Forge DAR 9300;Laser;134.00;8750.00 PED
Fire Forge DAR 9300, Modified;Laser;15000.00; 
Fire Forge DAR 9300, SGA Edition;Laser;134.00; 
Fire Forge DAR 9300, TWEN Edition;Laser;134.00; 
Fireforge FF39 (L);Laser;230.00; 
Fireforge FF43 (L);Laser;240.00;0.00%
Fireforge FF53E (L);Laser;268.00;133.00%
Fireforge FF61 (L);Laser;278.00; 
Fireforge FF66 (L);Laser;302.00; 
Fireforge FF76 (L);Laser;360.00; 
Fire Forge RAR 9900, Mentor Edition;Laser;168.00; 
Fire Forge SGH 2200;Laser;75.00; 
Fire Forge SGH 2200, Ancient;Laser;75.00; 
Fire Forge SGH 2200, Mentor Edition;Laser;75.00; 
Fire Forge SGH 2200M;Laser;80.00; 
Fire Forge SGH 2200M, Ancient;Laser;80.00; 
Fire Of Hel (L);BLP;30.00; 
Fire Sword (L);Longblades;628.00; 
Flamethrower (FA) (L);BLP;0.50; 
Force Mace Assail;Clubs;2576.00;1200.00 PED
Force Mace Assail (L);Clubs;182.00; 
Force Mace Attack (L);Clubs;563.00; 
Force Mace Basher;Clubs;4952.00;40000.00 PED
Force Mace Basher (L);Clubs;204.00; 
Force Mace Basher, Adapted (L);Clubs;1012.00; 
Force Mace Clobber;Clubs;5744.00; 
Force Mace Clobber (L);Clubs;267.00; 
Forest Sword (L);Longblades; ; 
FreanD Alpha BLP Pistol;BLP;27.00; 
FreanD Alpha BLP Pistol, Mentor Edition;BLP;27.00; 
FreanD Alpha BLP Pistol, SGA Edition;BLP;27.00; 
FreanD Beta BLP Pistol;BLP;87.00; 
FreanD Beta BLP Pistol, SGA Edition;BLP;87.00; 
FreanD Delta BLP Pistol;BLP;145.00; 
FreanD Delta BLP Pistol, SGA Edition;BLP;145.00; 
FreanD Epsilon BLP Pistol;BLP;157.00; 
FreanD Gamma BLP Pistol;BLP;101.00; 
FreanD Gamma BLP Pistol, SGA Edition;BLP;101.00; 
Frontier Combat Knife;Shortblades;2.00; 
Frontier Combat Knife, Adjusted;Shortblades;2.00; 
Frontier Hunting Rifle;Laser;2.00; 
Frontier Hunting Rifle, Adjusted;Laser;2.00; 
Functional Slicer (L);Longblades;8.00;250.00%
